,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Shot Creating Action,SCA_p90,Shots Shots Liveball Pass,Shots from Deadball Pass,Shots from Take-Ons,Shots from Shots,Shots from Fouls,Shots from Defense,Goal Creating Action,GCA_p90,Goals from Liveball Pass,Goals from Deadball Pass,Goals from Take-Ons,Goals from Shots,Goals from Fouls,Goals from Defense,Pass Completed,Pass Attempted,Pass Comp%,Total Pass Dist,Prog Pass Dist,Short Comp,Short Attempt,Short Comp%,Med Comp,Med Attempt,Med Comp%,Long Comp,Long Attempt,Long Comp%,Expected Assisted Goal xAG,Expected xA,A-xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
646,647,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,23-233,2001,5,3,294,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,9,18,6,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,8,2.44,6,0,0,2,0,0,1,0.31,1,0,0,0,0,0,223,246,90.7,3820,698,100,106,94.3,111,118,94.1,12,20,60.0,0.1,0.2,-0.1,3,21,2,0,18
647,648,Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26-080,1998,5,3,264,2.9,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,6,13,13,0.34,0.00,0.34,0.34,0.34,0.20,0.06,0.27,0.20,0.27,9,3.07,5,1,1,0,1,1,0,0.00,0,0,0,0,0,0,84,101,83.2,1285,322,53,63,84.1,26,29,89.7,4,4,100.0,0.2,0.8,-0.2,2,10,3,0,13
648,649,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-173,1995,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,105,167,62.9,3189,2481,21,21,100.0,41,41,100.0,43,103,41.7,0.0,0.0,0.0,0,5,0,0,0
649,650,Davide Faraoni,it ITA,"MF,DF",Hellas Verona,it Serie A,32-343,1991,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,8,13,61.5,161,42,1,2,50.0,6,8,75.0,1,3,33.3,0.0,0.0,0.0,0,1,0,0,1
650,651,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,20-208,2004,6,3,268,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,9,8,17,0.00,0.34,0.34,0.00,0.34,0.04,0.16,0.19,0.04,0.19,6,2.01,3,0,1,0,2,0,1,0.34,1,0,0,0,0,0,47,73,64.4,902,254,20,27,74.1,16,23,69.6,9,17,52.9,0.5,0.6,+0.5,2,5,4,1,8
651,652,Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20-115,2004,4,3,254,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,17,7,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,8,2.83,7,0,0,0,1,0,1,0.35,1,0,0,0,0,0,121,141,85.8,2280,663,54,60,90.0,48,54,88.9,18,25,72.0,0.1,0.2,-0.1,3,12,2,0,17
652,653,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,21-200,2003,3,3,237,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,7,14,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,8,3.04,5,0,1,1,1,0,1,0.38,1,0,0,0,0,0,30,45,66.7,441,158,19,25,76.0,9,12,75.0,2,4,50.0,0.1,0.0,-0.1,2,6,1,0,7
653,654,Peter Federico,do DOM,"MF,FW",Getafe,es La Liga,22-069,2002,5,1,138,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,6,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,3,1.93,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,20,32,62.5,283,130,10,15,66.7,6,10,60.0,2,3,66.7,0.0,0.1,0.0,1,1,2,1,1
654,655,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31-076,1993,2,2,180,2.0,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.2,9,10,18,0.00,0.50,0.50,0.00,0.50,0.34,0.26,0.61,0.34,0.61,12,6.00,9,2,0,0,0,1,1,0.50,0,1,0,0,0,0,67,82,81.7,1052,381,38,43,88.4,20,23,87.0,6,10,60.0,0.5,0.8,+0.5,6,5,6,2,10
655,656,Mattia Felici,it ITA,DF,Cagliari,it Serie A,23-168,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,2,7.83,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0,5,7,71.4,89,14,2,4,50.0,2,2,100.0,1,1,100.0,0.0,0.0,0.0,0,0,0,0,0
656,657,João Félix,pt POR,"MF,FW",Chelsea,eng Premier League,24-327,1999,4,0,112,1.2,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,7,8,9,0.80,0.00,0.80,0.80,0.80,0.38,0.00,0.38,0.38,0.38,3,2.39,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,50,62,80.6,713,207,31,36,86.1,14,16,87.5,3,5,60.0,0.0,0.1,0.0,0,11,3,0,8
657,658,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,33-243,1991,8,8,720,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,23,39,11,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,15,1.87,12,1,1,0,0,1,1,0.12,1,0,0,0,0,0,430,477,90.1,7572,2333,204,210,97.1,185,203,91.1,36,50,72.0,0.3,0.4,-0.3,4,37,5,4,39
658,659,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,19-349,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,5,80.0,62,25,3,4,75.0,0,0,,1,1,100.0,0.0,0.0,0.0,0,1,0,0,1
659,660,Zinedine Ferhat,dz ALG,"FW,MF",Angers,fr Ligue 1,31-215,1993,5,1,162,1.8,1,0,1,1,0,0,0,0,0.3,0.3,0.3,0.6,4,11,18,0.56,0.00,0.56,0.56,0.56,0.17,0.18,0.35,0.17,0.35,6,3.33,3,2,1,0,0,0,0,0.00,0,0,0,0,0,0,64,98,65.3,1044,372,34,41,82.9,21,34,61.8,8,17,47.1,0.3,0.3,-0.3,3,6,3,0,11
660,661,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,30-024,1994,6,6,479,5.3,0,1,1,0,0,0,1,1,1.9,1.9,1.2,3.1,14,47,31,0.00,0.19,0.19,0.00,0.19,0.35,0.23,0.58,0.35,0.58,18,3.38,17,0,0,0,1,0,1,0.19,1,0,0,0,0,0,229,311,73.6,3741,1290,114,130,87.7,82,101,81.2,22,49,44.9,1.2,1.3,-0.2,6,28,9,3,47
661,662,Edimilson Fernandes,ch SUI,MF,Brest,fr Ligue 1,28-170,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,2,1.29,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,45,60,75.0,739,201,20,22,90.9,21,27,77.8,3,7,42.9,0.1,0.0,-0.1,1,4,0,0,2
662,663,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20-084,2004,5,3,298,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,10,14,18,0.00,0.00,0.00,0.00,0.00,0.08,0.22,0.30,0.08,0.30,8,2.42,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,110,136,80.9,1586,302,58,71,81.7,41,49,83.7,5,7,71.4,0.7,0.3,-0.7,4,11,1,0,14
663,664,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,23-259,2001,5,5,431,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.2,4,20,12,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.24,0.05,0.24,13,2.71,12,0,0,1,0,0,2,0.42,2,0,0,0,0,0,221,273,81.0,4021,1140,92,101,91.1,98,117,83.8,25,39,64.1,0.9,0.5,-0.9,6,25,2,0,20
664,665,Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,24-314,1999,4,0,78,0.9,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.8,0,3,3,2.31,0.00,2.31,2.31,2.31,0.97,0.00,0.97,0.97,0.97,1,1.15,0,0,0,0,0,1,1,1.15,0,0,0,0,0,1,19,22,86.4,273,104,12,13,92.3,3,4,75.0,2,2,100.0,0.0,0.0,0.0,0,1,1,0,3
665,666,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,19-242,2005,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.36,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,7,57.1,60,8,3,5,60.0,1,1,100.0,0,0,,0.1,0.2,-0.1,1,0,1,0,1
666,667,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,32-204,1992,4,3,271,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,1,20,8,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,7,2.32,5,0,0,1,1,0,1,0.33,0,0,0,1,0,0,189,214,88.3,3366,1048,84,93,90.3,81,85,95.3,19,31,61.3,0.2,0.3,-0.2,3,21,1,1,20
667,668,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26-111,1998,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,4,50.0,18,0,1,1,100.0,0,0,,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0
668,669,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,23-356,2000,5,5,447,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,15,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,4,0.81,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,129,191,67.5,2174,888,60,74,81.1,55,85,64.7,10,20,50.0,0.0,0.1,0.0,1,9,3,0,15
669,670,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-111,1993,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.17,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,259,334,77.5,7664,4614,31,33,93.9,121,127,95.3,107,173,61.8,0.0,0.0,0.0,0,9,1,0,0
670,671,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24-127,2000,3,0,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,4,10,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.25,0.13,0.25,6,5.93,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,62,74,83.8,843,131,41,48,85.4,18,19,94.7,2,3,66.7,0.1,0.4,-0.1,2,1,2,0,4
671,672,Malick Fofana,be BEL,"FW,DF",Lyon,fr Ligue 1,19-185,2005,6,1,192,2.1,1,1,2,1,0,0,0,0,0.1,0.1,0.3,0.4,16,8,16,0.47,0.47,0.94,0.47,0.94,0.07,0.13,0.20,0.07,0.20,6,2.81,4,0,1,0,1,0,1,0.47,1,0,0,0,0,0,49,72,68.1,763,267,28,37,75.7,19,25,76.0,1,4,25.0,0.3,0.8,+0.7,1,6,3,1,8
672,673,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,23-290,2000,6,6,506,5.6,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,4,12,3,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,7,1.25,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0,313,350,89.4,5433,1570,128,136,94.1,167,179,93.3,16,28,57.1,0.4,0.1,-0.4,4,20,1,0,12
673,674,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-042,2000,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,137,183,74.9,3666,2574,21,21,100.0,76,76,100.0,40,86,46.5,0.0,0.0,0.0,0,3,0,0,0
674,675,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,25-266,1999,5,4,344,3.8,1,0,1,1,0,0,2,0,0.1,0.1,0.0,0.1,5,20,1,0.26,0.00,0.26,0.26,0.26,0.03,0.00,0.03,0.03,0.03,7,1.83,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,211,240,87.9,3509,1034,96,107,89.7,104,112,92.9,10,18,55.6,0.0,0.1,0.0,0,16,0,0,20
675,676,Jonas Föhrenbach,de GER,"DF,FW",Heidenheim,de Bundesliga,28-250,1996,5,5,450,5.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,12,16,11,0.00,0.20,0.20,0.00,0.20,0.02,0.10,0.13,0.02,0.13,9,1.80,8,0,0,1,0,0,2,0.40,2,0,0,0,0,0,155,222,69.8,2745,1127,63,76,82.9,74,98,75.5,14,28,50.0,0.5,0.6,+0.5,3,12,4,4,16
676,677,Michael Folorunsho,it ITA,FW,Napoli,it Serie A,26-238,1998,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,6,83.3,82,18,2,3,66.7,3,3,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,0
677,678,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,26-250,1998,2,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,2,2.65,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,31,39,79.5,704,247,11,14,78.6,13,15,86.7,7,10,70.0,0.0,0.0,0.0,0,6,0,0,6
678,679,Carlos Forbs,pt POR,MF,Wolves,eng Premier League,20-197,2004,2,0,44,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,2,9,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,1,2.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,9,20,45.0,116,29,6,11,54.5,3,5,60.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,2
679,680,Pablo Fornals,es ESP,"FW,MF",Betis,es La Liga,28-223,1996,8,6,519,5.8,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.8,10,52,40,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.31,0.11,0.31,33,5.72,28,2,2,1,0,0,3,0.52,3,0,0,0,0,0,229,307,74.6,3510,1486,129,147,87.8,81,110,73.6,14,31,45.2,1.1,1.1,-1.1,11,31,18,4,52
680,681,Omari Forson,eng ENG,"MF,FW",Monza,it Serie A,20-074,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,10,12,83.3,144,11,7,8,87.5,2,2,100.0,1,2,50.0,0.0,0.0,0.0,0,1,0,0,1
681,682,Héctor Fort,es ESP,DF,Barcelona,es La Liga,18-061,2006,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,4,3,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,1,1.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,31,36,86.1,410,92,22,23,95.7,8,11,72.7,1,1,100.0,0.0,0.0,0.0,1,3,0,0,4
682,683,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,31-193,1993,8,3,339,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,7,10,13,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,6,1.59,2,1,1,1,0,1,0,0.00,0,0,0,0,0,0,142,202,70.3,2343,779,69,80,86.3,63,86,73.3,9,22,40.9,0.1,0.3,-0.1,1,12,2,1,10
683,684,Alejandro Francés,es ESP,DF,Girona,es La Liga,22-062,2002,5,5,442,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,29,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,6,1.22,5,0,0,1,0,0,1,0.20,1,0,0,0,0,0,298,346,86.1,5733,1591,114,121,94.2,144,152,94.7,38,62,61.3,0.0,0.1,0.0,1,31,0,0,29
684,685,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,29-173,1995,5,3,284,3.2,1,0,1,0,1,1,1,0,0.9,0.1,0.2,0.3,3,19,27,0.32,0.00,0.32,0.00,0.00,0.28,0.07,0.35,0.03,0.10,9,2.85,5,4,0,0,0,0,1,0.32,1,0,0,0,0,0,162,212,76.4,2477,1078,98,110,89.1,53,66,80.3,6,18,33.3,0.2,0.3,-0.2,4,11,4,0,19
685,686,Enric Franquesa,es ESP,"FW,DF",Leganés,es La Liga,27-219,1997,8,4,362,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,3,6,17,0.25,0.00,0.25,0.25,0.25,0.07,0.03,0.10,0.07,0.10,4,0.99,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,83,116,71.6,1191,444,39,48,81.3,33,43,76.7,4,11,36.4,0.1,0.1,-0.1,1,3,1,1,6
686,687,Ryan Fraser,sct SCO,FW,Southampton,eng Premier League,30-221,1994,3,2,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,1,0.69,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,26,31,83.9,413,49,13,15,86.7,10,13,76.9,2,2,100.0,0.0,0.0,0.0,0,0,0,0,1
687,688,Davide Frattesi,it ITA,MF,Inter,it Serie A,24-346,1999,6,2,258,2.9,1,1,2,1,0,0,0,0,1.2,1.2,0.6,1.9,8,8,4,0.35,0.35,0.70,0.35,0.70,0.44,0.21,0.65,0.44,0.65,3,1.05,2,0,1,0,0,0,1,0.35,1,0,0,0,0,0,69,81,85.2,1109,189,37,40,92.5,27,32,84.4,5,5,100.0,0.6,0.5,+0.4,2,6,1,0,8
688,689,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,23-178,2001,6,6,521,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,6,1.04,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,167,193,86.5,2454,453,87,94,92.6,63,70,90.0,6,12,50.0,0.0,0.1,0.0,1,10,1,0,16
689,690,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,26-272,1998,5,3,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,7,1.87,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,115,169,68.0,1871,620,60,66,90.9,44,62,71.0,8,32,25.0,0.1,0.0,-0.1,4,8,1,0,10
690,691,Remo Freuler,ch SUI,MF,Bologna,it Serie A,32-170,1992,6,6,540,6.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,9,44,8,0.00,0.17,0.17,0.00,0.17,0.00,0.06,0.06,0.00,0.06,14,2.33,13,0,0,0,0,1,1,0.17,1,0,0,0,0,0,345,373,92.5,6038,1551,143,149,96.0,167,175,95.4,27,34,79.4,0.4,0.3,+0.6,9,32,4,0,44
691,692,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,26-200,1998,3,3,239,2.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,126,135,93.3,2591,856,26,26,100.0,84,87,96.6,14,18,77.8,0.0,0.1,0.0,0,3,2,0,7
692,693,Marvin Friedrich,de GER,FW,Gladbach,de Bundesliga,28-294,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0.0,0,0,0,0,0
693,694,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,23-297,2000,5,3,335,3.7,1,1,2,1,0,0,2,0,0.5,0.5,0.2,0.7,8,6,31,0.27,0.27,0.54,0.27,0.54,0.14,0.05,0.18,0.14,0.18,8,2.15,5,0,2,0,0,1,3,0.81,1,0,1,0,0,1,92,116,79.3,1280,360,55,64,85.9,28,34,82.4,4,5,80.0,0.2,0.2,+0.8,2,2,4,1,6
694,695,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27-225,1997,8,6,517,5.7,1,1,2,1,0,0,0,0,0.5,0.5,0.6,1.1,14,9,44,0.17,0.17,0.35,0.17,0.35,0.08,0.10,0.19,0.08,0.19,15,2.62,11,0,2,0,2,0,2,0.35,1,0,1,0,0,0,102,142,71.8,1403,388,63,75,84.0,30,42,71.4,5,8,62.5,0.6,0.4,+0.4,6,4,7,2,9
695,696,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,26-267,1998,5,2,168,1.9,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,8,10,19,0.00,0.00,0.00,0.00,0.00,0.18,0.03,0.22,0.18,0.22,11,5.93,9,0,0,2,0,0,2,1.08,1,0,0,1,0,0,63,77,81.8,951,264,37,38,97.4,20,27,74.1,5,9,55.6,0.1,0.2,-0.1,1,8,2,0,10
696,697,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,28-043,1996,4,2,172,1.9,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,1,11,18,0.00,0.00,0.00,0.00,0.00,0.20,0.32,0.52,0.20,0.52,13,6.80,10,2,0,1,0,0,0,0.00,0,0,0,0,0,0,77,104,74.0,1186,361,40,49,81.6,24,29,82.8,8,14,57.1,0.6,0.8,-0.6,4,3,7,3,11
697,698,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,31-236,1993,3,0,66,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,0,3,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,13,14,92.9,120,23,8,8,100.0,1,2,50.0,0,0,,0.0,0.1,0.0,0,1,0,0,0
698,699,Manuel Fuster,es ESP,"FW,MF",Las Palmas,es La Liga,26-346,1997,5,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,13,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,6,4.86,4,2,0,0,0,0,1,0.81,1,0,0,0,0,0,59,75,78.7,940,213,29,32,90.6,24,28,85.7,5,11,45.5,0.1,0.2,-0.1,2,2,1,1,1
699,700,Matteo Gabbia,it ITA,DF,Milan,it Serie A,24-347,1999,3,3,270,3.0,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,2,8,0,0.33,0.00,0.33,0.33,0.33,0.03,0.00,0.03,0.03,0.03,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0,150,167,89.8,2888,896,51,56,91.1,83,88,94.3,14,19,73.7,0.0,0.0,0.0,0,6,0,0,8
700,701,Alessandro Gabrielloni,it ITA,"FW,MF",Como,it Serie A,30-084,1994,3,0,57,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,0,5,0.00,0.00,0.00,0.00,0.00,0.18,0.25,0.43,0.18,0.43,3,4.74,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,8,14,57.1,111,28,5,6,83.3,3,3,100.0,0,1,0.0,0.2,0.0,-0.2,2,1,0,0,0
701,702,Gianluca Gaetano,it ITA,"MF,FW",Cagliari,it Serie A,24-150,2000,3,1,105,1.2,0,1,1,0,0,0,0,0,1.8,1.8,0.3,2.1,1,6,9,0.00,0.86,0.86,0.00,0.86,1.52,0.26,1.77,1.52,1.77,11,9.43,7,0,1,2,1,0,1,0.86,1,0,0,0,0,0,25,35,71.4,403,120,13,20,65.0,9,11,81.8,2,2,100.0,0.3,0.4,+0.7,3,3,2,0,6
702,703,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,30-178,1994,3,0,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,3,3.03,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0,48,51,94.1,830,215,22,22,100.0,21,23,91.3,3,4,75.0,0.2,0.0,-0.2,1,6,0,0,6
703,704,Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25-148,1999,6,0,124,1.4,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,1,1,19,0.00,0.00,0.00,0.00,0.00,0.32,0.22,0.54,0.32,0.54,3,2.20,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,37,49,75.5,439,53,26,28,92.9,10,17,58.8,0,2,0.0,0.3,0.1,-0.3,3,1,1,0,1
704,705,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,29-318,1994,1,0,16,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,0,1,0,0.00,5.63,5.63,0.00,5.63,0.00,4.20,4.20,0.00,4.20,1,5.63,1,0,0,0,0,0,1,5.63,1,0,0,0,0,0,7,9,77.8,134,49,5,5,100.0,0,1,0.0,2,2,100.0,0.7,0.3,+0.3,1,1,1,0,1
